G97 Transtornos pós-procedimento do sistema nervoso não classif,,–,1,–,–,–,–,–,–,–,–,2,–
G98 Outras transtornos do sistema nervoso não classificados em o,,1,2,–,–,1,–,–,–,–,1,–,–
G99* Outros transtornos do sistema nervoso em doenças classificad,,–,–,–,–,–,–,–,–,–,–,–,–
Capítulo VII: Doenças do olho e anexos (H00-H59),,116,147,137,146,120,150,125,123,182,180,161,152
"H00-H06 Transtornos da pálpebra, do aparelho lacrimal e da órbita",,4,4,2,3,1,5,5,5,6,2,4,3
H00 Hordéolo e calázio,,–,–,–,–,–,–,–,–,1,–,–,–
H01 Outras inflamações da pálpebra,,1,–,–,–,–,1,–,1,–,–,–,–
H02 Outros transtornos da pálpebra,,–,1,1,1,–,–,–,3,3,1,1,1
H03* Transtornos da pálpebra em doenças classificadas em outras,,–,–,–,–,–,–,–,–,–,–,–,–
H04 Transtornos do aparelho lacrimal,,–,–,1,–,–,–,–,–,–,–,–,–
H05 Transtornos da órbita,,3,3,–,2,1,4,5,1,2,1,3,2
H06* Transtornos do aparelho lacrimal e da órbita em doenças class,,–,–,–,–,–,–,–,–,–,–,–,–
H10-H13 Transtornos da conjuntiva,,20,25,25,22,16,22,20,16,26,17,22,15
H10 Conjuntivite,,1 7,21,24,22,14,21,19,14,24,12,22,11
H11 Outros transtornos da conjuntiva,,3,4,1,–,2,1,1,2,2,5,–,4
H13* Transtornos da conjuntiva em doenças classificadas em outra,,–,–,–,–,–,–,–,–,–,–,–,–
"H15-H22 Transtornos da esclerótica, da córnea, da íris e do corpo c",,31,39,32,48,41,49,40,34,44,59,43,53
H15 Transtornos da esclerótica,,–,1,–,2,–,–,1,1,2,–,2,3
H16 Ceratite,,2 1,29,18,36,32,34,23,24,33,40,29,31
H17 Cicatrizes e opacidades da córnea,,3,3,4,6,1,5,5,1,2,2,2,7
H18 Outros transtornos da córnea,,5,5,7,2,5,5,9,6,4,8,9,9
H19* Transtorno da esclerótica e da córnea em doenças classificada,,–,–,–,–,–,–,–,–,–,–,–,–
H20 Iridociclite,,1,1,2,–,2,3,1,–,3,7,–,1
H21 Outros transtornos da íris e do corpo ciliar,,1,–,1,2,1,2,1,2,–,2,1,2
H22* Transtornos da íris e do corpo ciliar em doenças classificadas,,–,–,–,–,–,–,–,–,–,–,–,–
H25-H28 Transtornos do cristalino,,10,17,12,15,13,17,6,9,17,12,18,20
H25 Catarata senil,,–,1,1,–,–,–,–,–,1,1,1,1
H26 Outras cataratas,,7,8,5,9,4,8,2,5,12,7,9,12
H27 Outros transtornos do cristalino,,–,2,1,2,3,2,1,2,1,1,4,3
H28* Catarata e outros transtornos do cristalino em doenças classifi,,3,6,5,4,6,7,3,2,3,3,4,4
H30-H36 Transtornos da coróide e da retina,,18,15,13,23,10,20,20,18,21,26,16,17
H30 Inflamação coriorretiniana,,8,4,5,5,3,5,6,10,6,2,3,5
H31 Outros transtornos da coróide,,–,–,–,–,–,–,–,–,–,–,–,–
H32* Transtornos coriorretinianos em doenças classificadas em outr,,–,–,–,–,–,–,–,–,–,–,–,–
H33 Descolamentos e defeitos da retina,,8,8,7,15,7,11,9,4,11,15,8,10
H34 Oclusões vasculares da retina,,–,–,–,–,–,1,–,–,–,1,1,1
H35 Outros transtornos da retina,,2,3,1,3,–,3,5,4,3,7,4,–
H36* Transtornos da retina em doenças classicadas em outra parte,,–,–,–,–,–,–,–,–,1,1,–,1
H40-H42 Glaucoma,,4,1,2,–,–,–,1,1,2,3,3,2
H40 Glaucoma,,4,1,2,–,–,–,1,1,2,3,3,2
H42* Glaucoma em doenças classificadas em outra parte,,–,–,–,–,–,–,–,–,–,–,–,–
H43-H45 Transtornos do humor vítreo e do globo ocular,,5,6,6,8,11,8,9,9,10,9,12,8
H43 Transtornos do humor vítreo,,–,1,1,5,2,3,2,5,1,2,3,2
H44 Transtornos do globo ocular,,5,5,5,3,9,5,7,4,9,7,9,6
H45* Transtornos do humor vítreo e do globo ocular em doenças cla,,–,–,–,–,–,–,–,–,–,–,–,–
H46-H48 Transtornos do nervo óptico e das vias ópticas,,–,1,3,2,–,–,1,3,2,2,–,–
H46 Neurite óptica,,–,–,2,1,–,–,1,2,2,1,–,–
H47 Outros transtornos do nervo óptico e das vias ópticas,,–,1,1,1,–,–,–,1,–,1,–,–
H48* Transtornos do nervo óptico [segundo par] e das vias ópticas e,,–,–,–,–,–,–,–,–,–,–,–,–
"H49-H52 Transtornos dos músculos oculares, do movimento binoc",,2,1,–,–,–,1,2,1,2,1,–,2
H49 Estrabismo paralítico,,–,1,–,–,–,–,1,–,2,1,–,1
H50 Outros estrabismos,,–,–,–,–,–,–,–,–,–,–,–,–
H51 Outros transtornos do movimento binocular,,–,–,–,–,–,–,–,–,–,–,–,–
H52 Transtornos da refração e da acomodação,,2,–,–,–,–,1,1,1,–,–,–,1
H53-H54 Transtornos visuais e cegueira,,18,37,40,24,23,26,19,24,49,47,41,32
H53 Distúrbios visuais,,1,2,1,2,2,1,1,1,2,2,5,–
H54 Cegueira e visão subnormal,,17,35,39,22,21,25,18,23,4 7,45,3 6,32
H55-H59 Outros transtornos do olho e anexos,,4,1,2,1,5,2,2,3,3,2,2,–
H55 Nistagmo e outros movimentos irregulares do olho,,–,–,–,–,–,–,–,–,–,–,–,–
H57 Outros transtornos do olho e anexos,,3,1,1,1,5,2,1,2,2,2,1,–
H58* Outros transtornos do olho e anexos em doenças classificadas,,–,–,–,–,–,–,–,–,–,–,–,–
H59 Transtornos do olho e anexos pós-procedimento não classifica,,1,–,1,–,–,–,1,1,1,–,1,–
Capítulo VIII: Doenças do ouvido e da apófise mastóide (H60-H95),,22,28,37,19,21,25,15,26,31,22,43,26
H60-H62 Doenças do ouvido externo,,1,–,1,1,–,–,–,–,–,–,2,–
H60 Otite externa,,1,–,1,1,–,–,–,–,–,–,2,–
H61 Outros transtornos do ouvido externo,,–,–,–,–,–,–,–,–,–,–,–,–
H62* Transtornos do ouvido externo em doenças classificadas em o,,–,–,–,–,–,–,–,–,–,–,–,–
H65-H75 Doenças do ouvido médio e da mastóide,,2,1,1,1,3,5,3,3,5,2,10,3
H65 Otite média não-supurativa,,–,–,–,–,1,1,2,–,1,–,3,1
H66 Otite média supurativa e as não especificadas,,2,–,–,1,–,1,–,2,2,–,3,–
H67* Otite média em doenças classificadas em outra parte,,–,–,–,–,–,–,–,–,–,–,–,–
H68 Salpingite e obstrução da trompa de Eustáquio,,–,–,–,–,–,–,–,–,–,–,1,–
H69 Outros transtornos da trompa de Eustáquio,,–,–,–,–,–,–,–,–,–,–,–,–
H70 Mastoidite e afecções correlatas,,–,–,–,–,–,–,–,–,–,–,–,1
H71 Colesteatoma do ouvido médio,,–,–,–,–,–,–,–,–,–,–,1,–
H72 Perfuração da membrana do tímpano,,–,1,1,–,2,3,1,1,2,2,1,1
H73 Outros transtornos da membrana do tímpano,,–,–,–,–,–,–,–,–,–,–,1,–
H74 Outros transtornos do ouvido médio e da mastóide,,–,–,–,–,–,–,–,–,–,–,–,–
H75* Outros transtornos do ouvido médio e da mastóide em doença,,–,–,–,–,–,–,–,–,–,–,–,–
H80-H83 Doenças do ouvido interno,,10,12,21,9,12,13,5,15,8,8,12,14
H80 Otosclerose,,–,–,–,–,–,–,–,–,–,–,–,–
H81 Transtornos da função vestibular,,–,1,2,–,–,–,1,2,1,2,1,2
H82* Síndromes vertiginosas em doenças classificadas em outra pa,,–,–,–,–,–,–,–,–,–,–,–,–
H83 Outros transtornos do ouvido interno,,10,11,19,9,12,13,4,13,7,6,11,12
H90-H95 Outros transtornos do ouvido,,9,15,14,8,6,7,7,8,18,12,19,9
H90 Perda de audição por transtorno de condução e/ou neuro-sens,,5,10,11,8,6,3,7,8,18,10,14,9
H91 Outras perdas de audição,,1,–,–,–,–,2,–,–,–,1,2,–
H92 Otalgia e secreção auditiva,,2,4,1,–,–,–,–,–,–,1,1,–
H93 Outros transtornos do ouvido não classificados em outra parte,,1,1,2,–,–,2,–,–,–,–,2,–
H94* Outros transtornos do ouvido em doenças classificadas em ou,,–,–,–,–,–,–,–,–,–,–,–,–
H95 Transtornos do ouvido e da apófise mastóide pós-procediment,,–,–,–,–,–,–,–,–,–,–,–,–
Capítulo IX: Doenças do aparelho circulatório (I00-I99),,207,236,224,227,215,245,249,247,575,743,563,448
I00-I02 Febre reumática aguda,,–,–,–,–,–,–,–,–,–,–,–,–
I00 Febre reumática sem menção de comprometimento do coraçã,,–,–,–,–,–,–,–,–,–,–,–,–
I01 Febre reumática com comprometimento do coração,,–,–,–,–,–,–,–,–,–,–,–,–
I02 Coréia reumática,,–,–,–,–,–,–,–,–,–,–,–,–
I05-I09 Doenças reumáticas crônicas do coração,,–,–,–,–,–,–,–,–,1,–,1,–
I05 Doenças reumáticas da valva mitral,,–,–,–,–,–,–,–,–,–,–,1,–
I06 Doenças reumáticas da valva aórtica,,–,–,–,–,–,–,–,–,1,–,–,–
I07 Doenças reumáticas da valva tricúspide,,–,–,–,–,–,–,–,–,–,–,–,–
I08 Doenças de múltiplas valvas,,–,–,–,–,–,–,–,–,–,–,–,–
I09 Outras doenças reumáticas do coração,,–,–,–,–,–,–,–,–,–,–,–,–
I10-I15 Doenças hipertensivas,,121,136,128,125,95,106,104,90,93,127,95,84
I10 Hipertensão essencial (primária),,1 21,136,127,125,95,105,102,89,91,125,93,82
I11 Doença cardíaca hipertensiva,,–,–,1,–,–,1,1,1,2,2,2,2
I12 Doença renal hipertensiva,,–,–,–,–,–,–,–,–,–,–,–,–
I13 Doença cardíaca e renal hipertensiva,,–,–,–,–,–,–,–,–,–,–,–,–
I15 Hipertensão secundária,,–,–,–,–,–,–,1,–,–,–,–,–
I20-I25 Doenças isquêmicas do coração,,14,25,30,25,25,37,32,28,53,58,53,41
I20 Angina pectoris,,1,1,1,2,3,5,4,5,13,25,15,9
I21 Infarto agudo do miocárdio,,1 3,21,28,22,20,30,24,20,23,23,30,27
I22 Infarto do miocárdio recorrente,,–,–,–,–,–,–,–,–,–,–,–,–
I23 Algumas complicações atuais subseqüentes ao infarto agudo d,,–,–,–,1,1,–,–,–,–,–,–,–
I24 Outras doenças isquêmicas agudas do coração,,–,1,–,–,1,–,2,–,1,1,1,1
I25 Doença isquêmica crônica do coração,,–,2,1,–,–,2,2,3,16,9,7,4
I26-I28 Doenças cardíaca pulmonar e da circulação pulmonar,,–,–,–,–,–,–,–,–,–,2,–,–
I26 Embolia pulmonar,,–,–,–,–,–,–,–,–,–,1,–,–
I27 Outras formas de doença cardíaca pulmonar,,–,–,–,–,–,–,–,–,–,1,–,–
I28 Outras doenças dos vasos pulmonares,,–,–,–,–,–,–,–,–,–,–,–,–
I30-I52 Outras formas de doença do coração,,15,11,9,8,14,9,8,17,59,70,41,38
I30 Pericardite aguda,,–,–,–,–,–,–,–,–,–,2,–,–
I31 Outras doenças do pericárdio,,–,–,–,–,–,–,–,–,1,1,–,–
I32* Pericardite em doenças classificadas em outra parte,,–,–,–,–,–,–,–,–,–,1,–,–
I33 Endocardite aguda e subaguda,,1,–,–,–,1,–,–,–,1,–,–,–
I34 Transtornos não-reumáticos da valva mitral,,–,1,–,–,–,–,–,1,1,2,4,–
I35 Transtornos não-reumáticos da valva aórtica,,–,–,–,1,–,–,–,1,6,3,1,1
I36 Transtornos não-reumáticos da valva tricúspide,,1,–,–,–,–,–,–,1,–,1,1,–
I37 Transtornos da valva pulmonar,,–,–,–,–,–,–,–,–,–,–,–,–
I38 Endocardite de valva não especificada,,–,–,–,–,–,–,–,–,–,1,1,–
I39* Endocardite e transtornos valvulares cardíacos em doenças cla,,–,–,–,–,–,–,–,–,–,–,–,1
I40 Miocardite aguda,,–,–,–,–,–,–,–,–,–,–,–,–
I41* Miocardite em doenças classificadas em outra parte,,–,–,–,–,–,–,–,–,–,–,–,–
I42 Cardiomiopatias,,3,–,–,–,2,1,–,3,6,8,5,10
I43* Cardiomiopatia em doenças classificadas em outra parte,,–,–,–,–,–,–,–,–,1,1,–,–
I44 Bloqueio atrioventricular e do ramo esquerdo,,–,1,–,–,–,–,–,–,4,1,–,3
I45 Outros transtornos de condução,,–,–,–,–,–,–,–,–,1,–,–,–
I46 Parada cardíaca,,–,–,–,–,–,–,–,–,–,–,–,–
I47 Taquicardia paroxística,,–,2,1,–,–,1,–,1,4,11,4,1
I48 Flutter e fibrilação atrial,,–,–,–,–,–,1,1,–,2,–,–,–
I49 Outras arritmias cardíacas,,9,3,4,5,5,3,5,8,12,6,5,7
I50 Insuficiência cardíaca,,1,3,2,2,3,3,2,1,18,32,18,15
I51 Complicações de cardiopatias e doenças cardíacas mal definid,,–,1,2,–,3,–,–,1,2,–,2,–
I52* Outras afecções cardíacas em doenças classificadas em outra,,–,–,–,–,–,–,–,–,–,–,–,–
I60-I69 Doenças cerebrovasculares,,14,17,12,10,10,10,13,8,50,56,38,34
I60 Hemorragia subaracnóide,,2,1,2,–,2,1,1,–,2,1,5,1
I61 Hemorragia intracerebral,,3,2,1,–,2,1,1,3,3,4,4,2
I62 Outras hemorragias intracranianas não-traumáticas,,–,–,1,–,–,–,1,–,1,–,1,–
I63 Infarto cerebral,,–,–,–,2,1,1,1,–,2,7,4,6
"I64 Acidente vascular cerebral, não especificado como hemorrágic",,7,10,5,6,4,3,6,1,23,26,13,13
I65 Oclusão e estenose de artérias pré-cerebrais que não resultam,,–,–,–,–,–,–,–,–,1,–,–,–
I66 Oclusão e estenose de artérias cerebrais que não resultam em,,–,–,–,–,–,–,–,–,–,–,–,1
I67 Outras doenças cerebrovasculares,,1,2,–,–,1,–,–,2,4,5,–,4
I68* Transtornos cerebrovasculares em doenças classificadas em o,,–,–,–,–,–,–,–,–,–,–,–,–
I69 Seqüelas de doenças cerebrovasculares,,1,2,3,2,–,4,3,2,14,13,11,7
"I70-I79 Doenças das artérias, das arteríolas e dos capilares",,5,2,3,4,6,4,6,6,7,5,5,3
I70 Aterosclerose,,2,1,1,2,4,2,2,2,3,1,2,2
I71 Aneurisma e dissecção da aorta,,–,–,–,–,–,–,–,–,–,–,–,1
I72 Outros aneurismas,,–,–,–,–,–,–,–,–,–,1,–,–
I73 Outras doenças vasculares periféricas,,–,1,2,1,2,1,1,4,2,3,1,–
I74 Embolia e trombose arteriais,,1,–,–,–,–,1,1,–,1,–,1,–
I77 Outras afecções das artérias e arteríolas,,2,–,–,1,–,–,1,–,1,–,1,–
I78 Doenças dos capilares,,–,–,–,–,–,–,1,–,–,–,–,–
"I79* Transtornos das artérias, das arteríolas e dos capilares em doe",,–,–,–,–,–,–,–,–,–,–,–,–
"I80-I89 Doenças das veias, dos vasos linfáticos e dos gânglios lin",,38,45,42,55,65,79,86,96,312,425,330,248
I80 Flebite e tromboflebite,,2,7,9,9,6,10,10,11,25,35,24,22
I81 Trombose da veia porta,,1,–,–,–,–,–,–,–,–,2,–,1
I82 Outra embolia e trombose venosas,,4,2,2,1,1,4,5,1,7,19,16,7
I83 Varizes dos membros inferiores,,2 1,26,25,35,41,53,55,66,208,268,208,167
I84 Hemorróidas,,6,5,3,5,10,6,7,10,42,74,50,33
I85 Varizes esofagianas,,–,–,–,–,–,–,–,–,–,1,–,1
I86 Varizes de outras localizações,,1,–,2,–,2,3,1,2,14,10,12,7
I87 Outras transtornos das veias,,3,5,1,4,5,2,5,1,10,10,15,4
I88 Linfadenite inespecífica,,–,–,–,–,–,1,1,1,–,2,1,–
I89 Outros transtornos não-infecciosos dos vasos linfáticos e dos g,,–,–,–,1,–,–,2,4,6,4,4,6
"I95-I99 Outros transtornos, e os não especificados do aparelho ci",,–,–,–,–,–,–,–,2,–,–,–,–
I95 Hipotensão,,–,–,–,–,–,–,–,–,–,–,–,–
"I97 Transtornos do aparelho circulatório, subseqüentes a procedim",,–,–,–,–,–,–,–,–,–,–,–,–
I98* Outros transtornos do aparelho circulatório em doenças classif,,–,–,–,–,–,–,–,–,–,–,–,–
I99 Outros transtornos do aparelho circulatório e os não especifica,,–,–,–,–,–,–,–,2,–,–,–,–
Capítulo X: Doenças do aparelho respiratório (J00-J99),,147,114,178,195,160,158,161,151,215,239,195,169
J00-J06 Infecções agudas das vias aéreas superiores,,1,3,5,1,3,–,1,4,12,7,6,9
J00 Nasofaringite aguda [resfriado comum],,–,–,–,–,–,–,–,–,–,–,–,–
J01 Sinusite aguda,,–,–,–,–,–,–,–,–,–,1,–,–
J02 Faringite aguda,,–,1,1,–,–,–,1,–,1,–,1,3
J03 Amigdalite aguda,,–,–,–,–,–,–,–,–,–,–,–,–
J04 Laringite e traqueíte agudas,,1,1,3,1,3,–,–,3,10,6,4,5
J05 Laringite obstrutiva aguda [crupe] e epiglotite,,–,–,1,–,–,–,–,–,1,–,1,–
J06 Infecções agudas das vias aéreas superiores de localizações m,,–,1,–,–,–,–,–,1,–,–,–,1
J10-J18 Influenza [gripe] e pneumonia,,2,1,–,3,–,2,–,–,2,9,4,4
J10 Influenza devida a vírus da influenza [gripe] identificado,,–,–,–,–,–,–,–,–,–,–,–,–
J11 Influenza [gripe] devida a vírus não identificado,,–,–,–,–,–,–,–,–,–,–,–,–
J12 Pneumonia viral não classificada em outra parte,,–,–,–,–,–,–,–,–,–,–,–,1
J13 Pneumonia devida a Streptococcus pneumoniae,,–,–,–,–,–,–,–,–,–,–,–,–
J14,Pneumonia devida a Haemophilus infuenzae,–,–,–,–,–,–,–,–,–,–,–,–
J15,Pneumonia bacteriana não classificada em outra parte,2,1,–,1,–,1,–,–,1,5,–,2
J16,Pneumonia devida a outros microorganismos infecciosos espe,–,–,–,–,–,–,–,–,–,–,–,–
J17*,Pneumonia em doenças classificadas em outra parte,–,–,–,–,–,–,–,–,–,–,–,–
J18,Pneumonia por microorganismo não especificada,–,–,–,2,–,1,–,–,1,4,4,1
J20-J22,Outras infecções agudas das vias aéreas inferiores,–,–,–,1,–,–,–,–,2,–,–,1
J20,Bronquite aguda,–,–,–,1,–,–,–,–,1,–,–,1
J21,Bronquiolite aguda,–,–,–,–,–,–,–,–,–,–,–,–
J22,Infecções agudas não especificada das vias aéreas inferiores,–,–,–,–,–,–,–,–,1,–,–,–
J30-J39,Outras doenças das vias aéreas superiores,22,15,39,41,44,35,30,28,65,77,57,43
J30,Rinite alérgica e vasomotora,2,–,5,1,2,2,1,1,2,2,2,2
J31,"Rinite, nasofaringite e faringite crônicas",3,1,2,2,–,2,–,1,3,3,2,–
J32,Sinusite crônica,3,1,2,3,2,2,–,2,7,1,1,4
J33,Pólipo nasal,–,–,–,–,–,–,–,–,–,–,–,–
J34,Outros transtornos do nariz e dos seios paranasais,–,–,2,3,–,1,1,–,–,1,–,–
J35,Doenças crônicas das amígdalas e das adenóides,–,–,–,–,–,–,–,–,–,–,–,–
J36,Abscesso periamigdaliano,–,–,–,–,–,–,–,–,–,–,–,–
J37,Laringite e laringotraqueíte crônicas,4,2,4,4,6,3,1,4,10,8,15,9
J38,Doenças das cordas vocais e da laringe não classificadas em o,10,11,24,28,33,25,26,20,43,62,34,28
J39,Outras doenças das vias aéreas superiores,–,–,–,–,1,–,1,–,–,–,3,–
J40-J47,Doenças crônicas das vias aéreas inferiores,88,79,106,115,9 3,99,107,9 4,116,116,1 10,93
J40,Bronquite não especificada como aguda ou crônica,–,–,–,1,–,1,1,–,2,4,4,–
J41,Bronquite crônica simples e a mucopurulenta,–,1,–,1,–,–,1,1,–,1,1,–
J42,Bronquite crônica não especificada,–,1,2,1,–,1,–,1,–,2,2,–
J43,Enfisema,–,–,1,1,2,1,2,1,2,4,1,2
J44,Outras doenças pulmonares obstrutivas crônicas,2 0,14,24,24,20,25,28,21,26,28,29,23
J45,Asma,68,61,77,87,70,71,75,69,83,77,71,68
J46,Estado de mal asmático,–,1,–,–,1,–,–,1,2,–,1,–
J47,Bronquectasia,–,1,2,–,–,–,–,–,1,–,1,–
J60-J70,Doenças pulmonares devidas a agentes externos,18,9,19,23,12,14,13,14,7,15,14,10
J60,Pneumoconiose dos mineiros de carvão,–,–,1,–,–,–,–,–,–,–,–,–
J61,Pneumoconiose devida a amianto [asbesto] e outras fibras min,–,–,–,1,–,–,–,–,–,–,–,–
J62,Pneumoconiose devida a poeira que contenham sílica,1 1,6,9,8,8,4,6,8,2,7,4,5
J63,Pneumoconiose devida a outras poeiras inorgânicas,1,–,1,3,–,1,3,1,2,–,–,2
J64,Pneumoconiose não especificada,1,–,–,–,–,–,–,1,1,2,3,–
J65,Pneumoconiose associada com tuberculose,1,–,–,3,–,–,–,–,–,–,–,–
J66,Doenças das vias aéreas devida a poeiras orgânicas específic,1,–,–,–,1,–,–,1,1,–,1,1
J67,Pneumonite de hipersensibilidade devida a poeiras orgânicas,1,1,2,3,1,2,1,1,–,4,3,–
J68,Afecções respiratórias devidas a inalação de produtos químico,2,2,5,5,1,5,2,2,1,2,3,1
J69,Pneumonite devida a sólidos e líquidos,–,–,–,–,–,–,–,–,–,–,–,–
J70,Afecções respiratórias devida a outros agentes externos,–,–,1,–,1,2,1,–,–,–,–,1
J80-J84,Outras doenças respiratórias que afetam principalmente o,–,–,–,1,–,–,–,1,–,2,–,1
J80,Síndrome do desconforto respiratório do adulto,–,–,–,–,–,–,–,–,–,–,–,–
J81,"Edema pulmonar, não especificado de outra forma",–,–,–,–,–,–,–,–,–,–,–,–
J82,"Eosinofilia pulmonar, não classificada em outra parte",–,–,–,1,–,–,–,–,–,–,–,–
J84,Outras doenças pulmonares intersticiais,–,–,–,–,–,–,–,1,–,2,–,1
J85-J86,Afecções necróticas e supurativas das vias aéreas inferior,–,–,–,–,–,1,1,1,–,2,–,–
J85,Abscesso do pulmão e do mediastino,–,–,–,–,–,–,1,–,–,2,–,–
J86,Piotórax,–,–,–,–,–,1,–,1,–,–,–,–
J90-J94,Outras doenças da pleura,15,7,8,9,8,6,9,9,9,11,4,8
J90,Derrame pleural não classificado em outra parte,5,3,4,4,2,–,6,4,3,1,2,4
J91*,Derrame pleural em afecções classificadas em outra parte,–,–,–,–,–,–,–,–,–,–,–,–
J92,Placas pleurais,1,–,–,1,–,–,–,–,–,–,–,–
J93,Pneumotórax,6,2,1,2,3,4,2,4,1,4,1,2
J94,Outras afecções pleurais,3,2,3,2,3,2,1,1,5,6,1,2
J95-J99,Outras doenças do aparelho respiratório,1,–,1,1,–,1,–,–,2,–,–,–
J95 Afecções respiratórias pós-procedimentos não classificadas em,,–,–,–,–,–,–,–,–,–,–,–,–
J96 Insuficiência respiratória não classificada de outra parte,,–,–,1,1,–,–,–,–,1,–,–,–
J98 Outros transtornos respiratórios,,1,–,–,–,–,1,–,–,1,–,–,–
J99* Transtornos respiratórios em doenças classificadas em outra p,,–,–,–,–,–,–,–,–,–,–,–,–
Capítulo XI: Doenças do aparelho digestivo (K00-K93),,44,51,41,54,101,209,184,196,696,766,609,539
"K00-K14 Doenças da cavidade oral, das glândulas salivares e dos m",,–,1,1,1,–,–,–,–,–,1,–,1
K00 Distúrbios do desenvolvimento e da erupção dos dentes,,–,–,–,–,–,–,–,–,–,–,–,–
K01 Dentes inclusos e impactados,,–,–,–,–,–,–,–,–,–,–,–,–
K02 Cárie dentária,,–,–,–,–,–,–,–,–,–,–,–,–
K03 Outras doenças dos tecidos dentários duros,,–,1,–,–,–,–,–,–,–,1,–,1
K04 Doenças da polpa e dos tecidos periapicais,,–,–,–,–,–,–,–,–,–,–,–,–
K05 Gengivite e doenças periodontais,,–,–,–,–,–,–,–,–,–,–,–,–
K06 Outros transtornos da gengiva e do rebordo alveolar sem dent,,–,–,–,–,–,–,–,–,–,–,–,–
K07 Anomalias dentofaciais (inclusive a maloclusão),,–,–,–,–,–,–,–,–,–,–,–,–
K08 Outros transtornos dos dentes e de suas estruturas de sustent,,–,–,–,–,–,–,–,–,–,–,–,–
K09 Cistos da região bucal não classificados em outra parte,,–,–,–,–,–,–,–,–,–,–,–,–
K10 Outras doenças dos maxilares,,–,–,–,–,–,–,–,–,–,–,–,–
K11 Doenças das glândulas salivares,,–,–,–,–,–,–,–,–,–,–,–,–
K12 Estomatite e lesões correlatas,,–,–,1,1,–,–,–,–,–,–,–,–
K13 Outras doenças do lábio e da mucosa oral,,–,–,–,–,–,–,–,–,–,–,–,–
K14 Doenças da língua,,–,–,–,–,–,–,–,–,–,–,–,–
"K20-K31 Doenças do esôfago, do estômago e do duodeno",,–,1,1,4,–,2,4,1,4,1,2,1
K20 Esofagite,,–,–,–,–,–,1,1,–,–,–,1,–
K21 Doença de refluxo gastroesofágico,,–,–,–,1,–,–,–,–,2,1,–,–
K22 Outras doenças do esôfago,,–,–,1,1,–,1,1,–,–,–,–,–
K23* Transtornos do esôfago em doenças classificadas em outra pa,,–,–,–,–,–,–,–,–,–,–,–,–
K25 Úlcera gástrica,,–,1,–,1,–,–,2,–,1,–,–,–
K26 Úlcera duodenal,,–,–,–,–,–,–,–,1,–,–,1,–
K27 Úlcera péptica de localização não especificada,,–,–,–,–,–,–,–,–,–,–,–,–
K28 Úlcera gastrojejunal,,–,–,–,1,–,–,–,–,–,–,–,–
K29 Gastrite e duodenite,,–,–,–,–,–,–,–,–,1,–,–,1
K30 Dispepsia,,–,–,–,–,–,–,–,–,–,–,–,–
K31 Outras doenças do estômago e do duodeno,,–,–,–,–,–,–,–,–,–,–,–,–
K35-K38 Doenças do apêndice,,–,1,1,1,5,7,6,4,47,46,35,40
K35 Apendicite aguda,,–,1,1,1,5,7,6,4,46,41,35,37
K36 Outras formas de apendicite,,–,–,–,–,–,–,–,–,–,–,–,–
"K37 Apendicite, sem outras especificações",,–,–,–,–,–,–,–,–,1,5,–,3
K38 Outras doenças do apêndice,,–,–,–,–,–,–,–,–,–,–,–,–
K40-K46 Hérnias,,36,42,35,40,92,189,170,180,641,705,5 63,488
K40 Hérnia inguinal,,3 0,29,22,29,69,142,127,135,465,503,4 13,368
K41 Hérnia femoral,,–,1,–,1,1,–,–,–,5,6,5,4
K42 Hérnia umbilical,,5,4,5,3,12,19,22,26,103,103,86,76
K43 Hérnia ventral,,1,5,5,1,3,13,4,10,29,38,23,23
K44 Hérnia diafragmática,,–,–,1,1,–,1,–,–,6,4,6,2
K45 Outras hérnias abdominais,,–,–,–,–,–,–,–,–,–,–,–,–
K46 Hérnia abdominal não especificada,,–,3,2,5,7,14,17,9,33,51,30,15
K50-K52 Enterites e colites não-infecciosas,,–,–,–,–,–,1,–,–,–,–,–,–
K50 Doença de Crohn [enterite regional],,–,–,–,–,–,–,–,–,–,–,–,–
K51 Colite ulcerativa,,–,–,–,–,–,1,–,–,–,–,–,–
K52 Outras gastroenterites e colites não-infecciosas,,–,–,–,–,–,–,–,–,–,–,–,–
K55-K63 Outras doenças dos intestinos,,1,1,1,1,–,–,1,–,1,3,2,3
K55 Transtornos vasculares do intestino,,–,1,–,–,–,–,–,–,1,–,–,–
K56 Íleo paralítico e obstrução intestinal sem hérnia,,–,–,–,–,–,–,–,–,–,–,–,2
K57 Doença diverticular do intestino,,–,–,–,–,–,–,–,–,–,–,–,–
K58 Síndrome do cólon irritável,,1,–,–,–,–,–,–,–,–,–,–,–
K59 Outros transtornos funcionais do intestino,,–,–,1,–,–,–,–,–,–,1,–,–
K60 Fissura e fístula das regiões anal e retal,,–,–,–,1,–,–,–,–,–,1,2,–
K61 Abscesso das regiões anal e retal,,–,–,–,–,–,–,–,–,–,–,–,–
K62 Outras doenças do reto e do ânus,,–,–,–,–,–,–,1,–,–,1,–,1
K63 Outras doenças do intestino,,–,–,–,–,–,–,–,–,–,–,–,–
K65-K67 Doenças do peritônio,,2,2,1,2,1,3,1,–,1,3,3,2
K65 Peritonite,,1,1,–,–,–,2,–,–,–,–,2,–
K66 Outros transtornos do peritônio,,1,1,1,2,1,1,1,–,1,3,1,2
"K67* Comprometimento do peritônio, em doenças infecciosas classi",,–,–,–,–,–,–,–,–,–,–,–,–
